Index	Smiles	Score	Uncertainty
0	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)N=C(O)[C@@H]2CCCN2)[C@@H](O)[C@H]1O	0.901	0.200
1	O=P(O)(O)OC[C@H]1O[C@@H](N2C=C[C@@H](O)N=C2O)C[C@@H]1O	0.788	0.290
2	CC(O)COC(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C	0.405	0.259
3	Nc1ncnc2c1ncn2[C@@H]1C=C[C@H](O)[C@H]1O	0.687	0.279
4	COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccccc1	0.691	0.173
5	O=P(O)(O)C(O)(Cc1cccc(-c2cccc(-c3ccccc3)c2)c1)P(=O)(O)O	0.954	0.108
6	O=P(O)(O)C(O)(Cc1cccc(-c2ccc(-c3ccccc3)cc2)c1)P(=O)(O)O	0.945	0.124
7	CCCCCCC(O)(P(=O)(O)O)P(=O)(O)O	0.807	0.241
8	CCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O	0.826	0.241
9	Cc1c(C(=O)c2nccn2C)oc2cccc(OCCCNCc3cccnc3)c12	0.900	0.177
10	Nc1nc(O)c2cc(C[C@@H](C(=O)O)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2n1	0.884	0.198
11	Cc1ccc(-c2ccc3c(ccc4sc5c(c43)NC[C@@H](C)NC5=O)n2)cn1	0.851	0.136
12	N=c1nc(O)c2cc(C[C@H](C(=O)O)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2[nH]1	0.792	0.254
13	CC(=O)N1c2cccc(O)c2NC2=C(C(=O)CC(C)(C)C2)[C@@H]1c1ccc(Cl)cc1Cl	0.949	0.110
14	CS(=O)(=O)N1CCC([C@H]2c3ccc(Cl)cc3C(N3CCNCC3)=Cc3cccnc32)CC1	0.936	0.139
15	CC/C=C\C/C=C\C[C@@H](O)/C=C/C=C\C/C=C\CCCC(=O)O	0.059	0.066
16	C[C@@H]1C[C@H]2CN1CCn1[nH]c3c(cccc3c1=O)-c1nc3c(cccc3[nH]c1=O)O2	0.924	0.168
17	C[C@]12CC[C@@H]3[C@H]4CCC(=O)C[C@@H]4CC[C@H]3[C@@H]1CCC2=O	0.626	0.263
18	COc1cc2c(cc1OS(N)(=O)=O)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@H]2CC#N	0.889	0.191
19	O/N=C1\CCc2cc(-c3cn(C4CCNCC4)nc3-c3ccncc3)ccc21	0.901	0.165
20	O=C(O)[C@H](NOCCS)c1c[nH]c2ccccc12	0.654	0.229
21	C[C@@H](O[P@H](C)=O)C(C)(C)C	0.056	0.051
22	O=C(Cc1cccs1)N[C@H](B(O)O)c1ccccc1	0.742	0.192
23	CC([O-])=Nc1ccc(CP(=O)(O)O[C@@H](C)c2ccccc2)cc1	0.945	0.070
24	COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(C)C)P(=O)(O)O)cc2)cc1	0.725	0.204
25	O=C(Cc1ccccc1)N[C@@H](Cc1cccc(C(=O)O)c1)B(O)O	0.619	0.219
